1,2021-07-09 00:00:00,2020-12-21 00:00:00,43.00,Sorrel - Fresh,Cosette,1,"",""
2,2021-08-17 00:00:00,2021-06-17 00:00:00,20.00,Wine - Pinot Noir Mondavi Coastal,Ethe,8,"",""
3,2021-08-09 00:00:00,2020-11-12 00:00:00,25.00,Flour - Whole Wheat,Nessie,3,"",""
4,2020-09-30 00:00:00,2021-09-11 00:00:00,57.00,"Nut - Almond, Blanched, Whole",Arabella,2,"",""
5,2021-07-20 00:00:00,2020-10-13 00:00:00,100.00,Wine - Zinfandel California 2002,Suzy,11,"",""
6,2020-12-23 00:00:00,2021-08-31 00:00:00,1.00,Tea - Herbal Orange Spice,Keane,6,"",""
7,2020-12-27 00:00:00,2021-02-12 00:00:00,4.00,Beef - Tender Tips,Ariadne,8,"",""
8,2021-07-05 00:00:00,2020-12-28 00:00:00,1.00,Pepper - Red Bell,Colver,9,"",""
9,2020-12-09 00:00:00,2020-12-26 00:00:00,91.00,"Lemonade - Natural, 591 Ml",Inigo,11,"",""
10,2020-10-20 00:00:00,2021-06-06 00:00:00,1.00,Wine La Vielle Ferme Cote Du,Valli,4,"",""
11,2021-06-10 00:00:00,2021-04-07 00:00:00,7.00,Banana - Green,Aila,9,"",""
12,2021-04-09 00:00:00,2021-09-13 00:00:00,59.00,Bagel - Sesame Seed Presliced,Barty,10,"",""
13,2020-10-02 00:00:00,2021-07-12 00:00:00,38.00,Bread Ww Cluster,Elwira,2,"",""
14,2020-10-16 00:00:00,2021-01-23 00:00:00,46.00,"Tarragon - Primerba, Paste",Hedwiga,11,"",""
15,2020-11-16 00:00:00,2021-05-22 00:00:00,80.00,Ecolab - Balanced Fusion,Carolynn,7,"",""
16,2021-01-09 00:00:00,2021-01-28 00:00:00,83.00,"Lamb - Leg, Boneless",Denice,9,"",""
17,2021-04-23 00:00:00,2021-03-17 00:00:00,9.00,"Beef - Tongue, Fresh",Hesther,5,"",""
18,2021-07-05 00:00:00,2020-09-24 00:00:00,8.00,"Soup - Knorr, French Onion",Jacintha,5,"",""
19,2020-11-13 00:00:00,2021-03-24 00:00:00,71.00,Beef - Top Butt Aaa,Judi,2,"",""
20,2020-12-13 00:00:00,2021-05-29 00:00:00,64.00,Tea - Grapefruit Green Tea,Cris,3,"",""
21,2021-01-23 00:00:00,2020-10-24 00:00:00,51.00,Bread - Ciabatta Buns,Giorgi,11,"",""
22,2021-06-10 00:00:00,2021-08-24 00:00:00,46.00,Kale - Red,Amy,1,"",""
23,2021-05-03 00:00:00,2020-12-22 00:00:00,59.00,"Oranges - Navel, 72",Harland,4,"",""
24,2020-12-07 00:00:00,2021-04-15 00:00:00,40.00,Chocolate - White,Alina,4,"",""
25,2021-02-13 00:00:00,2021-04-06 00:00:00,77.00,"Vinegar - Balsamic, White",Isa,10,"",""
26,2021-02-04 00:00:00,2021-04-16 00:00:00,1.00,Graham Cracker Mix,Ruddie,4,"",""
27,2020-09-26 00:00:00,2021-04-19 00:00:00,94.00,Wine - Semi Dry Riesling Vineland,Melisa,10,"",""
28,2021-07-06 00:00:00,2020-11-18 00:00:00,41.00,Beef - Prime Rib Aaa,Lannie,4,"",""
29,2021-08-13 00:00:00,2020-12-21 00:00:00,2.00,Wild Boar - Tenderloin,Samuele,1,"",""
30,2021-01-18 00:00:00,2020-10-07 00:00:00,73.00,"Vodka - Hot, Lnferno",Maryjo,2,"",""
31,2021-01-17 00:00:00,2021-08-31 00:00:00,72.00,Table Cloth 53x53 White,Zackariah,8,"",""
32,2021-01-13 00:00:00,2021-04-20 00:00:00,80.00,Onions - Spanish,Alvis,10,"",""
33,2020-09-25 00:00:00,2020-12-19 00:00:00,47.00,Broccoli - Fresh,Bud,3,"",""
34,2021-06-25 00:00:00,2021-01-21 00:00:00,50.00,Table Cloth 62x120 White,Faustina,9,"",""
35,2020-12-05 00:00:00,2021-08-20 00:00:00,62.00,Garlic - Peeled,Nani,3,"",""
36,2021-02-12 00:00:00,2020-09-17 00:00:00,56.00,Raspberries - Frozen,Glad,7,"",""
37,2021-01-15 00:00:00,2020-11-20 00:00:00,95.00,Scallops - 20/30,Eudora,3,"",""
38,2021-03-13 00:00:00,2021-09-02 00:00:00,26.00,Stock - Fish,Terza,5,"",""
39,2021-01-22 00:00:00,2021-03-09 00:00:00,50.00,Remy Red,Godard,5,"",""
40,2021-01-09 00:00:00,2020-11-20 00:00:00,91.00,Pork Ham Prager,Allsun,8,"",""
41,2020-12-02 00:00:00,2021-08-25 00:00:00,84.00,Wine - Magnotta - Pinot Gris Sr,Daryl,5,"",""
42,2021-06-01 00:00:00,2020-09-16 00:00:00,28.00,Turnip - White,Velma,1,"",""
43,2020-12-22 00:00:00,2021-02-24 00:00:00,13.00,Sweet Pea Sprouts,Johann,9,"",""
44,2020-10-10 00:00:00,2021-04-24 00:00:00,54.00,Island Oasis - Raspberry,Herold,9,"",""
45,2020-11-13 00:00:00,2020-12-17 00:00:00,29.00,Soup Campbells - Tomato Bisque,Dodie,8,"",""
46,2021-05-03 00:00:00,2021-05-30 00:00:00,56.00,Cheese - Swiss Sliced,Carlie,10,"",""
47,2021-09-07 00:00:00,2021-04-01 00:00:00,74.00,Crab Meat Claw Pasteurise,Editha,5,"",""
48,2020-11-01 00:00:00,2020-12-10 00:00:00,54.00,Steam Pan - Half Size Deep,Oby,5,"",""
49,2020-12-06 00:00:00,2020-11-21 00:00:00,86.00,Thyme - Dried,Timmy,11,"",""
50,2021-03-08 00:00:00,2021-01-22 00:00:00,30.00,Food Colouring - Pink,Baily,4,"",""
51,2021-07-16 00:00:00,2021-01-10 00:00:00,27.00,Pasta - Canelloni,Monah,9,"",""
52,2021-06-15 00:00:00,2021-02-25 00:00:00,88.00,Tuna - Bluefin,Libbie,1,"",""
53,2021-01-18 00:00:00,2021-08-11 00:00:00,58.00,"Salmon - Whole, 4 - 6 Pounds",Vaclav,8,"",""
54,2020-12-27 00:00:00,2021-04-30 00:00:00,73.00,Oven Mitts 17 Inch,Lucho,7,"",""
55,2020-12-28 00:00:00,2020-12-21 00:00:00,53.00,Pear - Halves,Gav,8,"",""
56,2021-08-14 00:00:00,2021-06-25 00:00:00,90.00,"Tart Shells - Sweet, 2",Herve,7,"",""
57,2021-09-01 00:00:00,2021-04-14 00:00:00,84.00,Snapple Raspberry Tea,Avigdor,1,"",""
58,2021-03-01 00:00:00,2021-06-02 00:00:00,53.00,Veal - Inside,Cybil,6,"",""
59,2021-02-10 00:00:00,2021-06-02 00:00:00,90.00,Vinegar - Tarragon,Idelle,4,"",""
60,2020-09-30 00:00:00,2021-05-27 00:00:00,58.00,"Marjoram - Dried, Rubbed",Derril,3,"",""
61,2020-12-25 00:00:00,2021-03-27 00:00:00,88.00,Beef - Sushi Flat Iron Steak,Richie,11,"",""
62,2021-08-04 00:00:00,2020-10-31 00:00:00,60.00,Bread - Calabrese Baguette,Carmita,2,"",""
63,2020-11-20 00:00:00,2020-10-01 00:00:00,93.00,Nougat - Paste / Cream,Else,8,"",""
64,2020-11-21 00:00:00,2021-04-15 00:00:00,42.00,Muffin Mix - Chocolate Chip,Daphna,3,"",""
65,2021-03-29 00:00:00,2020-11-25 00:00:00,77.00,Goldschalger,Brandie,10,"",""
66,2021-01-06 00:00:00,2020-12-31 00:00:00,77.00,Ice Cream - Turtles Stick Bar,Priscella,8,"",""
67,2021-09-07 00:00:00,2021-06-05 00:00:00,96.00,The Pop Shoppe - Cream Soda,Cornall,11,"",""
68,2021-09-14 00:00:00,2020-11-20 00:00:00,73.00,Cake - Dulce De Leche,Raye,7,"",""
69,2020-10-22 00:00:00,2021-02-07 00:00:00,72.00,Wine - Sogrape Mateus Rose,Warden,2,"",""
70,2021-05-12 00:00:00,2021-01-07 00:00:00,70.00,Dates,Rriocard,10,"",""
71,2021-06-09 00:00:00,2021-08-26 00:00:00,48.00,Egg - Salad Premix,Mauricio,1,"",""
72,2021-03-01 00:00:00,2021-04-23 00:00:00,20.00,"Ice - Clear, 300 Lb For Carving",Emelen,6,"",""
73,2021-02-28 00:00:00,2021-03-11 00:00:00,59.00,Tart - Raisin And Pecan,Ailis,7,"",""
74,2021-04-16 00:00:00,2021-09-12 00:00:00,1.00,Gatorade - Xfactor Berry,Reinhard,3,"",""
75,2020-10-11 00:00:00,2021-02-28 00:00:00,28.00,Muffin Mix - Corn Harvest,Gregoor,7,"",""
76,2021-02-24 00:00:00,2021-09-01 00:00:00,78.00,"Brandy - Orange, Mc Guiness",Ole,3,"",""
77,2021-05-31 00:00:00,2020-10-27 00:00:00,82.00,Food Colouring - Pink,Lynea,5,"",""
78,2021-06-17 00:00:00,2021-02-01 00:00:00,12.00,Coffee - Hazelnut Cream,Ferdinand,2,"",""
79,2021-09-12 00:00:00,2020-09-25 00:00:00,86.00,Bar Bran Honey Nut,Gregoire,9,"",""
80,2021-03-04 00:00:00,2020-11-28 00:00:00,93.00,Tea - Grapefruit Green Tea,Lorrie,3,"",""
81,2021-03-24 00:00:00,2020-11-20 00:00:00,29.00,"Bread - Sticks, Thin, Plain",Brendin,9,"",""
82,2021-02-15 00:00:00,2021-05-20 00:00:00,57.00,"Sugar - Brown, Individual",Quincey,3,"",""
83,2021-04-14 00:00:00,2020-11-11 00:00:00,41.00,Papadam,Casandra,10,"",""
84,2021-02-19 00:00:00,2021-07-04 00:00:00,90.00,Lentils - Green Le Puy,Bogey,9,"",""
85,2021-06-22 00:00:00,2021-04-04 00:00:00,13.00,Bacardi Mojito,Alonso,4,"",""
86,2021-07-22 00:00:00,2021-06-09 00:00:00,46.00,"Tabasco Sauce, 2 Oz",Ernaline,11,"",""
87,2021-04-05 00:00:00,2020-10-08 00:00:00,22.00,Tomatoes - Heirloom,Kristofor,1,"",""
88,2021-03-15 00:00:00,2020-11-21 00:00:00,100.00,Breadfruit,Nollie,4,"",""
89,2020-09-20 00:00:00,2020-10-25 00:00:00,58.00,Pie Shell - 9,Devan,6,"",""
90,2021-03-12 00:00:00,2021-08-14 00:00:00,91.00,"Bread - Roll, Soft White Round",Jamil,5,"",""
91,2021-03-11 00:00:00,2021-05-13 00:00:00,98.00,Juice - Lemon,Berkley,9,"",""
92,2021-07-03 00:00:00,2021-05-18 00:00:00,26.00,Sauce - Mint,Charmain,8,"",""
93,2021-07-10 00:00:00,2021-03-21 00:00:00,82.00,Broom And Broom Rack White,Mellie,11,"",""
94,2021-02-03 00:00:00,2021-03-13 00:00:00,56.00,Veal - Liver,Marci,10,"",""
95,2020-12-12 00:00:00,2021-09-10 00:00:00,11.00,Phyllo Dough,Shoshana,6,"",""
96,2021-09-05 00:00:00,2021-06-03 00:00:00,14.00,Flower - Carnations,Evin,8,"",""
97,2021-01-01 00:00:00,2020-11-15 00:00:00,62.00,Anchovy Paste - 56 G Tube,Pryce,11,"",""
98,2021-01-09 00:00:00,2021-04-12 00:00:00,36.00,Sauce - Thousand Island,Cal,7,"",""
99,2020-11-03 00:00:00,2021-08-16 00:00:00,1.00,Pate - Cognac,Vitoria,2,"",""
100,2021-04-19 00:00:00,2021-04-18 00:00:00,66.00,Yoghurt Tubes,Loraine,2,"",""
101,2021-01-19 00:00:00,2021-08-03 00:00:00,71.00,Scallops 60/80 Iqf,Gertrudis,1,"",""
102,2020-12-18 00:00:00,2021-04-13 00:00:00,20.00,Gatorade - Xfactor Berry,Johannah,8,"",""
103,2021-02-12 00:00:00,2021-01-01 00:00:00,19.00,Sauce - Soy Low Sodium - 3.87l,Karoly,6,"",""
104,2020-10-25 00:00:00,2021-01-09 00:00:00,88.00,Container - Clear 16 Oz,Boniface,7,"",""
105,2020-12-09 00:00:00,2021-04-07 00:00:00,96.00,Cookie Dough - Oatmeal Rasin,Kata,3,"",""
106,2021-04-05 00:00:00,2021-04-08 00:00:00,88.00,"Tray - Foam, Square 4 - S",Anne-corinne,6,"",""
107,2020-10-02 00:00:00,2021-03-13 00:00:00,26.00,Soup Campbells - Tomato Bisque,Suzy,10,"",""
108,2021-03-27 00:00:00,2021-05-08 00:00:00,77.00,Sambuca - Ramazzotti,Mikaela,9,"",""
109,2020-11-14 00:00:00,2021-06-27 00:00:00,96.00,"Beef - Rib Roast, Cap On",Fremont,2,"",""
110,2021-06-10 00:00:00,2021-07-04 00:00:00,37.00,"Juice - Apple, 500 Ml",Dorothea,4,"",""
111,2021-06-28 00:00:00,2020-12-16 00:00:00,66.00,Shrimp - Black Tiger 13/15,Dorris,3,"",""
112,2020-10-09 00:00:00,2021-01-05 00:00:00,89.00,Plate Foam Laminated 9in Blk,Claudetta,2,"",""
113,2021-07-17 00:00:00,2020-10-15 00:00:00,22.00,"Pepper - Red, Finger Hot",Artemis,1,"",""
114,2021-02-20 00:00:00,2021-07-03 00:00:00,47.00,Duck - Breast,Blithe,8,"",""
115,2021-08-17 00:00:00,2020-10-01 00:00:00,84.00,"Nut - Hazelnut, Ground, Natural",Brigit,6,"",""
116,2020-11-20 00:00:00,2021-06-14 00:00:00,29.00,Juice - Orange 1.89l,Rhody,4,"",""
117,2021-08-20 00:00:00,2021-03-18 00:00:00,90.00,Pepper - Gypsy Pepper,Murdock,1,"",""
118,2020-12-21 00:00:00,2021-02-02 00:00:00,74.00,Langers - Mango Nectar,Cecilius,6,"",""
119,2021-04-24 00:00:00,2021-07-17 00:00:00,5.00,"Wine - White, Ej",Merle,2,"",""
120,2021-03-20 00:00:00,2021-05-31 00:00:00,30.00,Lemonade - Pineapple Passion,Devi,4,"",""
121,2020-10-14 00:00:00,2020-11-04 00:00:00,50.00,Wine - Sawmill Creek Autumn,Koo,1,"",""
122,2021-07-07 00:00:00,2021-09-14 00:00:00,5.00,Steam Pan Full Lid,Horatia,5,"",""
123,2020-10-11 00:00:00,2020-12-14 00:00:00,93.00,"Pasta - Gnocchi, Potato",Dunc,1,"",""
124,2021-02-01 00:00:00,2021-06-28 00:00:00,1.00,Langers - Ruby Red Grapfruit,Clark,8,"",""
125,2021-09-06 00:00:00,2021-05-06 00:00:00,37.00,Lettuce - Escarole,Edgardo,6,"",""
126,2021-01-24 00:00:00,2021-02-04 00:00:00,19.00,Pepper - Green,Prisca,6,"",""
127,2021-07-16 00:00:00,2021-08-06 00:00:00,94.00,Butcher Twine 4r,Leonard,11,"",""
128,2020-12-22 00:00:00,2020-10-30 00:00:00,90.00,Pear - Halves,Inesita,4,"",""
129,2021-08-13 00:00:00,2021-08-19 00:00:00,40.00,Sprouts - Corn,Krissy,9,"",""
130,2021-07-02 00:00:00,2020-09-28 00:00:00,56.00,Beer - Labatt Blue,Jacklyn,10,"",""
131,2020-10-17 00:00:00,2020-12-25 00:00:00,56.00,"Wine - Red, Lurton Merlot De",Sorcha,10,"",""
132,2020-12-23 00:00:00,2020-10-27 00:00:00,45.00,Cheese - Brie,Annie,9,"",""
133,2020-12-22 00:00:00,2020-09-30 00:00:00,31.00,Wooden Mop Handle,Chandra,5,"",""
134,2020-12-18 00:00:00,2021-01-06 00:00:00,99.00,Scallop - St. Jaques,Meade,6,"",""
135,2021-05-30 00:00:00,2021-02-12 00:00:00,5.00,Sambuca - Opal Nera,Smitty,6,"",""
136,2021-03-22 00:00:00,2020-10-04 00:00:00,48.00,"Beef - Ground, Extra Lean, Fresh",Olwen,9,"",""
137,2020-10-30 00:00:00,2021-02-28 00:00:00,19.00,Spic And Span All Purpose,Bethanne,5,"",""
138,2021-09-02 00:00:00,2020-10-02 00:00:00,6.00,Shrimp - Black Tiger 16/20,Cazzie,8,"",""
139,2021-06-29 00:00:00,2021-03-02 00:00:00,74.00,Teriyaki Sauce,Job,5,"",""
140,2021-02-22 00:00:00,2020-10-26 00:00:00,68.00,Pie Shell - 5,Shepherd,8,"",""
141,2021-01-23 00:00:00,2021-01-01 00:00:00,37.00,Cheese - Swiss Sliced,Revkah,5,"",""
142,2020-10-02 00:00:00,2021-05-12 00:00:00,4.00,Shrimp - 150 - 250,Freemon,11,"",""
143,2021-04-18 00:00:00,2021-01-06 00:00:00,100.00,"Pasta - Orzo, Dry",Shela,5,"",""
144,2021-03-18 00:00:00,2020-11-03 00:00:00,97.00,"Oranges - Navel, 72",Felipa,3,"",""
145,2020-12-03 00:00:00,2021-01-01 00:00:00,4.00,Rice - Jasmine Sented,Ransell,11,"",""
146,2021-02-11 00:00:00,2021-05-11 00:00:00,97.00,Lettuce Romaine Chopped,Wilmer,1,"",""
147,2021-05-24 00:00:00,2020-11-16 00:00:00,38.00,Barramundi,Ardelle,5,"",""
148,2020-10-09 00:00:00,2021-02-17 00:00:00,46.00,Carrots - Jumbo,Bernarr,11,"",""
149,2021-02-03 00:00:00,2020-11-13 00:00:00,63.00,Lamb - Shoulder,Chandal,7,"",""
150,2020-12-26 00:00:00,2020-10-07 00:00:00,56.00,Soho Lychee Liqueur,Jenny,2,"",""
151,2021-07-01 00:00:00,2020-09-29 00:00:00,71.00,Beef Cheek Fresh,Joye,9,"",""
152,2021-03-02 00:00:00,2020-12-11 00:00:00,16.00,Tea - Vanilla Chai,Ardith,5,"",""
153,2021-05-09 00:00:00,2021-03-23 00:00:00,5.00,"Beans - Fava, Canned",Jyoti,11,"",""
154,2020-10-09 00:00:00,2021-07-30 00:00:00,14.00,Lid Tray - 16in Dome,Keslie,5,"",""
155,2021-06-19 00:00:00,2021-03-24 00:00:00,99.00,Wine - Chablis 2003 Champs,Livvy,2,"",""
156,2021-06-21 00:00:00,2021-03-08 00:00:00,3.00,Beets - Mini Golden,Christen,7,"",""
157,2020-10-19 00:00:00,2021-01-16 00:00:00,66.00,Appetizer - Chicken Satay,Thaddeus,5,"",""
158,2021-04-26 00:00:00,2021-06-21 00:00:00,53.00,Cabbage - Savoy,Christin,4,"",""
159,2021-05-24 00:00:00,2020-10-15 00:00:00,79.00,Dasheen,Sarita,6,"",""
160,2021-08-09 00:00:00,2021-09-01 00:00:00,42.00,"Tart Shells - Savory, 4",Kirstyn,6,"",""
161,2020-11-12 00:00:00,2020-10-09 00:00:00,47.00,Fond - Neutral,Candace,10,"",""
162,2021-08-17 00:00:00,2021-02-18 00:00:00,22.00,Wine - Jafflin Bourgongone,Joanie,9,"",""
163,2021-08-07 00:00:00,2020-12-31 00:00:00,93.00,Lettuce - Frisee,Marge,6,"",""
164,2020-11-21 00:00:00,2021-04-15 00:00:00,37.00,Liquid Aminios Acid - Braggs,Fax,11,"",""
165,2021-07-10 00:00:00,2021-02-23 00:00:00,94.00,Red Currant Jelly,Patrizio,5,"",""
166,2021-03-18 00:00:00,2020-10-22 00:00:00,88.00,Chicken Breast Wing On,Renee,3,"",""
167,2021-08-30 00:00:00,2020-12-22 00:00:00,79.00,Broom - Push,Doralia,8,"",""
168,2020-12-04 00:00:00,2021-05-30 00:00:00,42.00,"Tendrils - Baby Pea, Organic",Adele,11,"",""
169,2021-09-10 00:00:00,2020-11-30 00:00:00,85.00,"Soup - Knorr, Chicken Noodle",Juliette,6,"",""
170,2021-06-25 00:00:00,2021-05-16 00:00:00,75.00,Chinese Lemon Pork,Tod,7,"",""
171,2021-02-26 00:00:00,2020-10-10 00:00:00,80.00,Cookies - Englishbay Wht,Tracey,7,"",""
172,2021-05-03 00:00:00,2021-04-22 00:00:00,61.00,Wine - Sake,Phil,4,"",""
173,2021-07-28 00:00:00,2021-06-07 00:00:00,100.00,Sauce Tomato Pouch,Isidoro,9,"",""
174,2020-10-18 00:00:00,2021-04-04 00:00:00,58.00,Cake - Pancake,Elwira,11,"",""
175,2021-03-30 00:00:00,2021-01-21 00:00:00,22.00,Tarragon - Fresh,Jacquenetta,3,"",""
176,2021-07-30 00:00:00,2021-03-25 00:00:00,55.00,Corn - Mini,Jenny,6,"",""
177,2021-07-05 00:00:00,2021-05-01 00:00:00,19.00,Bread - Petit Baguette,Velma,10,"",""
178,2021-07-15 00:00:00,2020-10-29 00:00:00,55.00,Lychee,Maryjane,8,"",""
179,2021-04-28 00:00:00,2021-06-06 00:00:00,51.00,Trueblue - Blueberry,Gabriell,11,"",""
180,2020-12-17 00:00:00,2020-11-09 00:00:00,1.00,Devonshire Cream,Frederik,7,"",""
181,2020-12-08 00:00:00,2020-12-14 00:00:00,49.00,Yoghurt Tubes,Felic,2,"",""
182,2021-01-18 00:00:00,2020-10-05 00:00:00,36.00,"Potatoes - Yukon Gold, 80 Ct",My,1,"",""
183,2021-04-18 00:00:00,2021-08-24 00:00:00,17.00,Nantucket - Carrot Orange,Adella,8,"",""
184,2021-09-12 00:00:00,2021-07-25 00:00:00,13.00,Ecolab - Ster Bac,Dena,5,"",""
185,2021-08-07 00:00:00,2020-10-13 00:00:00,34.00,Tomatoes - Hot House,Betteann,10,"",""
186,2020-12-20 00:00:00,2020-11-30 00:00:00,78.00,Fireball Whisky,Elsa,1,"",""
187,2021-05-22 00:00:00,2021-03-25 00:00:00,49.00,Oregano - Fresh,Sarajane,8,"",""
188,2020-10-21 00:00:00,2020-11-12 00:00:00,9.00,Mahi Mahi,Phillipe,2,"",""
189,2021-07-15 00:00:00,2021-04-26 00:00:00,1.00,"Roe - Lump Fish, Black",Barney,9,"",""
190,2021-03-27 00:00:00,2021-07-08 00:00:00,59.00,Eggplant - Regular,Massimo,6,"",""
191,2021-07-30 00:00:00,2021-07-17 00:00:00,18.00,"Yeast - Fresh, Fleischman",Mycah,3,"",""
192,2021-02-28 00:00:00,2021-03-09 00:00:00,93.00,Pastry - Baked Cinnamon Stick,Roseann,5,"",""
193,2020-12-24 00:00:00,2020-10-13 00:00:00,52.00,Table Cloth 81x81 White,Kristopher,7,"",""
194,2021-07-06 00:00:00,2021-08-15 00:00:00,72.00,Towel Dispenser,Clea,8,"",""
195,2021-03-04 00:00:00,2021-01-09 00:00:00,57.00,"Wine - Bourgogne 2002, La",Lisbeth,6,"",""
196,2020-11-17 00:00:00,2020-10-24 00:00:00,51.00,Capon - Whole,Hershel,5,"",""
197,2021-09-14 00:00:00,2020-12-19 00:00:00,81.00,Bread - Pita,Elvina,9,"",""
198,2021-02-17 00:00:00,2021-01-18 00:00:00,27.00,Cake - Bande Of Fruit,Bertrando,8,"",""
199,2021-05-18 00:00:00,2021-08-27 00:00:00,46.00,Dragon Fruit,Cob,11,"",""
200,2020-11-24 00:00:00,2020-12-07 00:00:00,16.00,"Cod - Salted, Boneless",Arv,10,"",""
201,2021-04-06 00:00:00,2020-11-01 00:00:00,81.00,Table Cloth 62x114 White,Ashlee,3,"",""
202,2021-09-12 00:00:00,2020-10-26 00:00:00,73.00,Thermometer Digital,Ludovika,8,"",""
